Stock,Epic,Qty,Price,Target,Stop,Date,Sell,Sell Date,P/L
Money Supermarket,MONY,3500,264.9,290,235,2021-01-04,258.0,2021-08-10,-241.0
Fonix Mobile,FNX,5000,124.0,180,110,2020-12-23,166.0,2021-09-06,2100.0
Entain,ENT,600,1129.0,1500,1000,2020-12-22,1660.0,2021-05-07,3186.0
Spire,SPI,6000,136.7,195,120,2020-12-21,251.5,2021-06-17,6888.0
Volex,VLX,2000,301.7,380,280,2020-12-18,373.5,2021-06-17,1436.0
Avast,AVST,1500,476.0,580,420,2020-12-08,604.0,2021-08-25,1920.0
Calnex,CLX,5000,92.0,140,82,2020-11-26,112.0,2021-09-01,1000.0
I Energiser,IBPO,1000,260.0,400,220,2020-11-12,190.0,2023-04-21,-700.0
Qinetic,QQ,2000,273.2,350,250,2020-11-09,,,
IG,IGG,1000,764.0,900,700,2020-11-06,830.5,2021-09-24,665.0
CMC,CMCX,1500,311.8,370,270,2020-10-01,423.3,2021-08-06,1672.0
888,888,3500,205.0,280,185,2020-09-25,175.2,2022-07-04,-1043.0
IG Group,IGG,1000,770.0,880,720,2020-09-24,830.5,2021-09-24,605.0
TT Electronics,TTG,5000,179.2,250,140,2020-09-22,273.8,2021-09-20,4730.0
ITV,ITV,10000,58.7,75,50,2020-09-22,117.25,2021-08-25,5855.0
Kingfisher,KGF,2000,281.8,335,240,2020-09-22,304.3,2020-10-27,250.0
Thinksmart,TSL,10000,38.22,50,30,2020-09-15,90.9,2021-12-14,5268.0
Clipper,CLG,1000,440.0,500,390,2020-09-14,811.0,2021-09-27,3710.0
Mondi,MNDI,250,1477.5,1650,1400,2020-09-10,1685.0,2020-10-01,519.0
Flutter,FLTR,100,11220.0,13000,10730,2020-09-09,13990.0,2021-03-02,2270.0
Avon Rubber,AVON,100,3915.0,4500,3500,2020-09-09,2782.3,2021-06-09,-1133.0
I energizer,IBPO,1000,226.0,280,190,2020-09-03,190.0,2023-04-21,-360.0
Kooth,KOO,2500,239.5,280,200,2020-09-02,286.0,2021-01-25,1163.0
